text,category,clean_text,target
"Vlada Republike Slovenije je danes na redni seji sprejela nov zakon o davčni reformi. Minister za finance je pojasnil, da bo reforma prinesla spremembe v dohodninski lestvici. Poslanci opozicije so napovedali kritično razpravo v parlamentu. Koalicija je zagotovila, da bodo spremembe pravične za vse državljane.",Politika,"vlada republike slovenije je danes na redni seji sprejela nov zakon o davčni reformi. minister za finance je pojasnil, da bo reforma prinesla spremembe v dohodninski lestvici. poslanci opozicije so napovedali kritično razpravo v parlamentu. koalicija je zagotovila, da bodo spremembe pravične za vse državljane.",1
Predsednik vlade se je danes sestal z evropskimi komisarji v Bruslju. Pogovarjali so se o zeleni tranziciji in digitalnih reformah. Slovenija bo prevzela pomembno vlogo pri koordinaciji projektov. Ministri so predstavili ambiciozne načrte za prihodnost.,Politika,predsednik vlade se je danes sestal z evropskimi komisarji v bruslju. pogovarjali so se o zeleni tranziciji in digitalnih reformah. slovenija bo prevzela pomembno vlogo pri koordinaciji projektov. ministri so predstavili ambiciozne načrte za prihodnost.,1
"Državni zbor je včeraj potrdil proračun za prihodnje leto. Koalicijske stranke so podprle predlog, medtem ko je opozicija glasovala proti. Največji delež sredstev bo namenjen zdravstvu in šolstvu. Proračun predvideva tudi pomembne investicije v infrastrukturo.",Politika,"državni zbor je včeraj potrdil proračun za prihodnje leto. koalicijske stranke so podprle predlog, medtem ko je opozicija glasovala proti. največji delež sredstev bo namenjen zdravstvu in šolstvu. proračun predvideva tudi pomembne investicije v infrastrukturo.",1
Minister za zunanje zadeve je obiskal sosednje države. Pogovori so se osredotočili na regionalno sodelovanje in skupne infrastrukturne projekte. Podpisanih je bilo več memorandumov o sodelovanju. Odnosi med državami se nadaljujejo v pozitivni smeri.,Politika,minister za zunanje zadeve je obiskal sosednje države. pogovori so se osredotočili na regionalno sodelovanje in skupne infrastrukturne projekte. podpisanih je bilo več memorandumov o sodelovanju. odnosi med državami se nadaljujejo v pozitivni smeri.,1
Lokalne volitve bodo potekale prihodnji mesec. Kandidati so predstavili svoje programe za razvoj mest in občin. Volivci bodo odločali o županih in svetnikih. Pričakuje se visoka volilna udeležba v večjih mestih.,Politika,lokalne volitve bodo potekale prihodnji mesec. kandidati so predstavili svoje programe za razvoj mest in občin. volivci bodo odločali o županih in svetnikih. pričakuje se visoka volilna udeležba v večjih mestih.,1
Parlament je danes razpravljal o novi zakonodaji za varstvo okolja. Poslanci so poudarili pomen trajnostnega razvoja. Sprejetje zakona je načrtovano za konec meseca. Nevladne organizacije so pozdravile predlog.,Politika,parlament je danes razpravljal o novi zakonodaji za varstvo okolja. poslanci so poudarili pomen trajnostnega razvoja. sprejetje zakona je načrtovano za konec meseca. nevladne organizacije so pozdravile predlog.,1
Ministrstvo za delo pripravlja reforme na področju pokojninskega sistema. Socialnim partnerjem so predstavili osnutek sprememb. Sindikati so napovedali dodatne pogovore. Vlada želi sistem narediti bolj vzdržen za prihodnje generacije.,Politika,ministrstvo za delo pripravlja reforme na področju pokojninskega sistema. socialnim partnerjem so predstavili osnutek sprememb. sindikati so napovedali dodatne pogovore. vlada želi sistem narediti bolj vzdržen za prihodnje generacije.,1
Predsednik države je sprejel veleposlanike evropskih držav. Pogovarjali so se o mednarodnih odnosih in sodelovanju. Slovenija bo okrepila diplomatske stike z vsemi partnerji. Srečanje je potekalo v prijateljskem vzdušju.,Politika,predsednik države je sprejel veleposlanike evropskih držav. pogovarjali so se o mednarodnih odnosih in sodelovanju. slovenija bo okrepila diplomatske stike z vsemi partnerji. srečanje je potekalo v prijateljskem vzdušju.,1
Opozicijske stranke so včeraj predstavile alternativni predlog proračuna. Kritizirali so vladne prioritete in predlagali drugačno razporeditev sredstev. Koalicija je predlog zavrnila kot nerealen. Razprava v državnem zboru se nadaljuje.,Politika,opozicijske stranke so včeraj predstavile alternativni predlog proračuna. kritizirali so vladne prioritete in predlagali drugačno razporeditev sredstev. koalicija je predlog zavrnila kot nerealen. razprava v državnem zboru se nadaljuje.,1
Vlada je sprejela strategijo digitalizacije javne uprave. Projekt predvideva posodobitev vseh državnih storitev. Državljani bodo upravne zadeve lahko urejali spletno. Investicija v projekt znaša 100 milijonov evrov v petih letih.,Politika,vlada je sprejela strategijo digitalizacije javne uprave. projekt predvideva posodobitev vseh državnih storitev. državljani bodo upravne zadeve lahko urejali spletno. investicija v projekt znaša 100 milijonov evrov v petih letih.,1
Slovenska košarkarska reprezentanca je včeraj zmagala proti Litvi s 85:78. Luka Dončić je dosegel 32 točk in 12 skokov. Tekma je potekala v Stožicah pred razprodano dvorano. Navijači so ustvarili neverjetno vzdušje in podprli svojo ekipo do zmage.,Šport,slovenska košarkarska reprezentanca je včeraj zmagala proti litvi s 85:78. luka dončić je dosegel 32 točk in 12 skokov. tekma je potekala v stožicah pred razprodano dvorano. navijači so ustvarili neverjetno vzdušje in podprli svojo ekipo do zmage.,4
NK Maribor je v derbiju premagal Olimpijo z 2:1. Gola sta zadela Zahović in Kronaveter. Trener je bil zadovoljen z igro ekipe v drugem polčasu. Z zmago je Maribor prevzel vodstvo na lestvici.,Šport,nk maribor je v derbiju premagal olimpijo z 2:1. gola sta zadela zahović in kronaveter. trener je bil zadovoljen z igro ekipe v drugem polčasu. z zmago je maribor prevzel vodstvo na lestvici.,4
Smučar Žan Kranjec je osvojil drugo mesto na veleslalomu v Kranjski Gori. Zmagal je Norvežan Henrik Kristoffersen. Kranjec je pokazal odlično vožnjo v obeh vožnjah. Publika je slovenskega smučarja navdušeno pozdravila.,Šport,smučar žan kranjec je osvojil drugo mesto na veleslalomu v kranjski gori. zmagal je norvežan henrik kristoffersen. kranjec je pokazal odlično vožnjo v obeh vožnjah. publika je slovenskega smučarja navdušeno pozdravila.,4
Primož Roglič se pripravlja na Tour de France. Kolesarski as trenira v Španiji in kaže odlično formo. Cilj je uvrstitev na stopničke. Slovenska ekipa ima letos močno sestavo.,Šport,primož roglič se pripravlja na tour de france. kolesarski as trenira v španiji in kaže odlično formo. cilj je uvrstitev na stopničke. slovenska ekipa ima letos močno sestavo.,4
Rokometna reprezentanca je kvalificirala na svetovno prvenstvo. V odločilni tekmi so premagali Hrvaško s 30:28. Navijači so proslavili uspeh v Ljubljani. Selektor je pohvalil borbenost moštva.,Šport,rokometna reprezentanca je kvalificirala na svetovno prvenstvo. v odločilni tekmi so premagali hrvaško s 30:28. navijači so proslavili uspeh v ljubljani. selektor je pohvalil borbenost moštva.,4
Tina Maze je bila imenovana za ambasadorko zimskih športov. Legendarna smučarka bo promoviral šport med mladimi. Program predvideva obiske šol in treningov. Maze je navdušena nad novo vlogo.,Šport,tina maze je bila imenovana za ambasadorko zimskih športov. legendarna smučarka bo promoviral šport med mladimi. program predvideva obiske šol in treningov. maze je navdušena nad novo vlogo.,4
Slovenski odbojkarji so v ligi narodov premagali Argentino. Zmaga s 3:1 je ekipo približala finalnemu turnirju. Trener je bil zadovoljen s predstavo. Naslednja tekma je proti Franciji.,Šport,slovenski odbojkarji so v ligi narodov premagali argentino. zmaga s 3:1 je ekipo približala finalnemu turnirju. trener je bil zadovoljen s predstavo. naslednja tekma je proti franciji.,4
Atletinja Anita Horvat je postavila nov slovenski rekord v teku na 800 metrov. Njen čas je bil 1:58.32. Uspeh je dosegla na mitingu v Stockholmu. S tem si je zagotovila normo za svetovno prvenstvo.,Šport,atletinja anita horvat je postavila nov slovenski rekord v teku na 800 metrov. njen čas je bil 1:58.32. uspeh je dosegla na mitingu v stockholmu. s tem si je zagotovila normo za svetovno prvenstvo.,4
Hokejska reprezentanca se pripravlja na olimpijske kvalifikacije. Igralci so začeli s pripravami v Jesenicah. Selektor je poklical najboljše hokejiste iz tujine. Cilj je uvrstitev na zimske olimpijske igre.,Šport,hokejska reprezentanca se pripravlja na olimpijske kvalifikacije. igralci so začeli s pripravami v jesenicah. selektor je poklical najboljše hokejiste iz tujine. cilj je uvrstitev na zimske olimpijske igre.,4
Plavalka Janja Šegel je zmagala na mednarodnem tekmovanju v Ljubljani. V disciplini 200 metrov prosto je dosegla najboljši letošnji čas. Trenerji so zadovoljni z napredkom. Šeglova cilja na olimpijske igre.,Šport,plavalka janja šegel je zmagala na mednarodnem tekmovanju v ljubljani. v disciplini 200 metrov prosto je dosegla najboljši letošnji čas. trenerji so zadovoljni z napredkom. šeglova cilja na olimpijske igre.,4
Slovensko start-up podjetje je razvilo novo aplikacijo za učenje jezikov z umetno inteligenco. Aplikacija uporablja napredne algoritme za personalizirano učenje. Investitorji so pokazali veliko zanimanje. Podjetje načrtuje širitev na evropski trg.,Tehnologija,slovensko start-up podjetje je razvilo novo aplikacijo za učenje jezikov z umetno inteligenco. aplikacija uporablja napredne algoritme za personalizirano učenje. investitorji so pokazali veliko zanimanje. podjetje načrtuje širitev na evropski trg.,2
Nov pametni telefon slovenskega proizvajalca je prišel na trg. Naprava ima odlične tehnične specifikacije in konkurenčno ceno. Prva serija je bila razprodana v dveh dneh. Podjetje načrtuje dodatno proizvodnjo.,Tehnologija,nov pametni telefon slovenskega proizvajalca je prišel na trg. naprava ima odlične tehnične specifikacije in konkurenčno ceno. prva serija je bila razprodana v dveh dneh. podjetje načrtuje dodatno proizvodnjo.,2
Raziskovalci na Institutu Jožef Stefan so razvili inovativen polnilnik za električna vozila. Nova tehnologija omogoča hitrejše polnjenje baterij. Patent je že prijavljen. Proizvajalci avtomobilov so izrazili zanimanje za sodelovanje.,Tehnologija,raziskovalci na institutu jožef stefan so razvili inovativen polnilnik za električna vozila. nova tehnologija omogoča hitrejše polnjenje baterij. patent je že prijavljen. proizvajalci avtomobilov so izrazili zanimanje za sodelovanje.,2
Slovenska IT podjetja so prejela evropska sredstva za razvoj облачnih storitev. Projekti se osredotočajo na kibernetsko varnost in digitalizacijo. Financiranje znaša 5 milijonov evrov. Podjetja bodo zaposlila dodatnih 200 programerjev.,Tehnologija,slovenska it podjetja so prejela evropska sredstva za razvoj облачnih storitev. projekti se osredotočajo na kibernetsko varnost in digitalizacijo. financiranje znaša 5 milijonov evrov. podjetja bodo zaposlila dodatnih 200 programerjev.,2
Google je odprl razvojni center v Ljubljani. Podjetje bo zaposlilo 100 programerjev za delo na projektih umetne inteligence. To je pomemben mejnik za slovensko IT sceno. Odprtje centra bo spodbodilo razvoj tehnološkega sektorja.,Tehnologija,google je odprl razvojni center v ljubljani. podjetje bo zaposlilo 100 programerjev za delo na projektih umetne inteligence. to je pomemben mejnik za slovensko it sceno. odprtje centra bo spodbodilo razvoj tehnološkega sektorja.,2
Slovenski razvijalci so ustvarili platformo za varno izmenjavo podatkov med bolnišnicami. Sistem uporablja blockchain tehnologijo za zaščito zasebnosti. Pilotni projekt se začenja v Ljubljani. Ministrstvo za zdravje podpira projekt.,Tehnologija,slovenski razvijalci so ustvarili platformo za varno izmenjavo podatkov med bolnišnicami. sistem uporablja blockchain tehnologijo za zaščito zasebnosti. pilotni projekt se začenja v ljubljani. ministrstvo za zdravje podpira projekt.,2
Nova verzija slovenskega operacijskega sistema za pametne hiše je na voljo. Posodobitev prinaša izboljšano varnost in nove funkcije. Uporabniki lahko upravljajo vse naprave iz ene aplikacije. Sistem je kompatibilen z vsemi glavnimi proizvajalci.,Tehnologija,nova verzija slovenskega operacijskega sistema za pametne hiše je na voljo. posodobitev prinaša izboljšano varnost in nove funkcije. uporabniki lahko upravljajo vse naprave iz ene aplikacije. sistem je kompatibilen z vsemi glavnimi proizvajalci.,2
Raziskovalci so razvili revolucionarno tehnologijo za shranjevanje energije. Nove baterije imajo trikrat večjo kapaciteto. Projekt je financiran iz evropskih sredstev. Komercialna proizvodnja se bo začela čez dve leti.,Tehnologija,raziskovalci so razvili revolucionarno tehnologijo za shranjevanje energije. nove baterije imajo trikrat večjo kapaciteto. projekt je financiran iz evropskih sredstev. komercialna proizvodnja se bo začela čez dve leti.,2
Slovensko podjetje je predstavilo robota za pomoč starejšim. Robot lahko opravlja osnovne gospodinjske naloge in nudi družbo. Napredna umetna inteligenca omogoča naravno komunikacijo. Prvi roboti bodo na voljo prihodnje leto.,Tehnologija,slovensko podjetje je predstavilo robota za pomoč starejšim. robot lahko opravlja osnovne gospodinjske naloge in nudi družbo. napredna umetna inteligenca omogoča naravno komunikacijo. prvi roboti bodo na voljo prihodnje leto.,2
Novi superračunalnik na univerzi bo najzmogljivejši v regiji. Sistem bo uporabljen za kompleksne znanstvene simulacije. Investicija znaša 10 milijonov evrov. Dostop bodo imeli raziskovalci iz vseh fakultet.,Tehnologija,novi superračunalnik na univerzi bo najzmogljivejši v regiji. sistem bo uporabljen za kompleksne znanstvene simulacije. investicija znaša 10 milijonov evrov. dostop bodo imeli raziskovalci iz vseh fakultet.,2
Borzni indeks SBI TOP je danes zrasel za 2 odstotka. Vlagatelji so optimistični glede gospodarske rasti. Delnice bank in zavarovalnic so najbolj pridobile. Analitiki napovedujejo nadaljnjo rast v naslednjih mesecih.,Gospodarstvo,borzni indeks sbi top je danes zrasel za 2 odstotka. vlagatelji so optimistični glede gospodarske rasti. delnice bank in zavarovalnic so najbolj pridobile. analitiki napovedujejo nadaljnjo rast v naslednjih mesecih.,0
"Izvoz slovenskega gospodarstva se je v lanskem letu povečal za 8 odstotkov. Največji izvozni partnerji so Nemčija, Italija in Avstrija. Avtomobilska industrija je vodilna panoga. Podjetja so optimistična glede letošnjega leta.",Gospodarstvo,"izvoz slovenskega gospodarstva se je v lanskem letu povečal za 8 odstotkov. največji izvozni partnerji so nemčija, italija in avstrija. avtomobilska industrija je vodilna panoga. podjetja so optimistična glede letošnjega leta.",0
"Centralna banka je objavila napoved gospodarske rasti za prihodnje leto. BDP naj bi zrasel za 3,5 odstotka. Inflacija naj bi se umirila na 2 odstotka. Gospodarska gibanja so stabilna in predvidljiva.",Gospodarstvo,"centralna banka je objavila napoved gospodarske rasti za prihodnje leto. bdp naj bi zrasel za 3,5 odstotka. inflacija naj bi se umirila na 2 odstotka. gospodarska gibanja so stabilna in predvidljiva.",0
Novo poslovno središče bo zgrajeno v Ljubljani. Investicija je vredna 50 milijonov evrov. Projekt bo ustvaril 300 novih delovnih mest. Gradnja se bo začela prihodnji mesec.,Gospodarstvo,novo poslovno središče bo zgrajeno v ljubljani. investicija je vredna 50 milijonov evrov. projekt bo ustvaril 300 novih delovnih mest. gradnja se bo začela prihodnji mesec.,0
"Turizem v Sloveniji beleži rekordne številke. Število prenočitev se je povečalo za 15 odstotkov. Najbolj priljubljene destinacije so Ljubljana, Bled in obala. Turistična sezona je presegla vsa pričakovanja.",Gospodarstvo,"turizem v sloveniji beleži rekordne številke. število prenočitev se je povečalo za 15 odstotkov. najbolj priljubljene destinacije so ljubljana, bled in obala. turistična sezona je presegla vsa pričakovanja.",0
Slovensko farmacevtsko podjetje je pridobilo pomemben kontrakt s Kitajsko. Vrednost posla presega 20 milijonov evrov. Podjetje bo izvažalo zdravila za zdravljenje srčnih bolezni. To je največji izvozni posel v zgodovini podjetja.,Gospodarstvo,slovensko farmacevtsko podjetje je pridobilo pomemben kontrakt s kitajsko. vrednost posla presega 20 milijonov evrov. podjetje bo izvažalo zdravila za zdravljenje srčnih bolezni. to je največji izvozni posel v zgodovini podjetja.,0
"Cene nepremičnin v Ljubljani so se v zadnjem letu dvignile za 12 odstotkov. Povpraševanje presega ponudbo, še posebej v centru mesta. Strokovnjaki svetujejo previdnost pri investiranju. Vlada pripravlja ukrepe za ohladitev trga.",Gospodarstvo,"cene nepremičnin v ljubljani so se v zadnjem letu dvignile za 12 odstotkov. povpraševanje presega ponudbo, še posebej v centru mesta. strokovnjaki svetujejo previdnost pri investiranju. vlada pripravlja ukrepe za ohladitev trga.",0
Nov trgovski center v Mariboru je odprl svoja vrata. Investicija je ustvarila 400 novih delovnih mest. Center vključuje 80 trgovin in restavracij. Prvi vikend je obiskalo več kot 30.000 ljudi.,Gospodarstvo,nov trgovski center v mariboru je odprl svoja vrata. investicija je ustvarila 400 novih delovnih mest. center vključuje 80 trgovin in restavracij. prvi vikend je obiskalo več kot 30.000 ljudi.,0
Slovenska podjetja so lani investirala rekordnih 800 milijonov evrov v raziskave in razvoj. To je 15 odstotkov več kot leto prej. Največje investicije so v farmaciji in IT sektorju. Vlada nadaljuje s subvencijami za inovacije.,Gospodarstvo,slovenska podjetja so lani investirala rekordnih 800 milijonov evrov v raziskave in razvoj. to je 15 odstotkov več kot leto prej. največje investicije so v farmaciji in it sektorju. vlada nadaljuje s subvencijami za inovacije.,0
Minimalna plača se bo januarja zvišala na 1.250 evrov. Sindikat so zadovoljni s povišanjem. Delodajalci opozarjajo na stroške za podjetja. Skupno bo od zvišanja imelo koristi 120.000 zaposlenih.,Gospodarstvo,minimalna plača se bo januarja zvišala na 1.250 evrov. sindikat so zadovoljni s povišanjem. delodajalci opozarjajo na stroške za podjetja. skupno bo od zvišanja imelo koristi 120.000 zaposlenih.,0
Slovenski raziskovalci so odkrili novo zdravilo proti redki bolezni. Klinične študije so pokazale odlične rezultate. Zdravilo bo kmalu na voljo pacientom. Odkritje je rezultat petletnega raziskovalnega dela.,Znanost,slovenski raziskovalci so odkrili novo zdravilo proti redki bolezni. klinične študije so pokazale odlične rezultate. zdravilo bo kmalu na voljo pacientom. odkritje je rezultat petletnega raziskovalnega dela.,3
Univerza v Ljubljani je sodelovala pri projektu Evropske vesoljske agencije. Slovenski znanstveniki so prispevali k razvoju satelitskega sistema. Satelit bo lansiran prihodnje leto. Projekt raziskuje podnebne spremembe.,Znanost,univerza v ljubljani je sodelovala pri projektu evropske vesoljske agencije. slovenski znanstveniki so prispevali k razvoju satelitskega sistema. satelit bo lansiran prihodnje leto. projekt raziskuje podnebne spremembe.,3
Novi teleskop na Rogli omogoča opazovanje vesolja v visoki ločljivosti. Astronomi so že odkrili več novih objektov. Observatorij je odprt tudi za javnost. Vsak teden potekajo vodeni ogledi.,Znanost,novi teleskop na rogli omogoča opazovanje vesolja v visoki ločljivosti. astronomi so že odkrili več novih objektov. observatorij je odprt tudi za javnost. vsak teden potekajo vodeni ogledi.,3
Raziskava o podnebnih spremembah kaže na dvig temperature v Alpah. Slovenski znanstveniki so analizirali podatke iz zadnjih 50 let. Rezultati so zaskrbljujoči. Potrebni so nujni ukrepi za zmanjšanje emisij.,Znanost,raziskava o podnebnih spremembah kaže na dvig temperature v alpah. slovenski znanstveniki so analizirali podatke iz zadnjih 50 let. rezultati so zaskrbljujoči. potrebni so nujni ukrepi za zmanjšanje emisij.,3
Medicinski fakulteti je uspelo gojiti človeško tkivo v laboratoriju. Preboj bo omogočil boljše zdravljenje poškodb. Študija je objavljena v prestižni reviji Nature. Raziskovalci so prejeli mednarodno priznanje.,Znanost,medicinski fakulteti je uspelo gojiti človeško tkivo v laboratoriju. preboj bo omogočil boljše zdravljenje poškodb. študija je objavljena v prestižni reviji nature. raziskovalci so prejeli mednarodno priznanje.,3
Arheologi so v Ljubljani odkrili ostanke rimske naselbine. Najdba vključuje več stavb in uporabnih predmetov. Odkritje spreminja razumevanje zgodovine mesta. Izkopavanja se bodo nadaljevala naslednje leto.,Znanost,arheologi so v ljubljani odkrili ostanke rimske naselbine. najdba vključuje več stavb in uporabnih predmetov. odkritje spreminja razumevanje zgodovine mesta. izkopavanja se bodo nadaljevala naslednje leto.,3
Raziskovalci so razvili novo metodo za čiščenje podtalnice. Tehnologija uporablja posebne bakterije za razgradnjo onesnaževal. Pilotni projekt se izvaja v Mariboru. Rezultati presegajo pričakovanja.,Znanost,raziskovalci so razvili novo metodo za čiščenje podtalnice. tehnologija uporablja posebne bakterije za razgradnjo onesnaževal. pilotni projekt se izvaja v mariboru. rezultati presegajo pričakovanja.,3
Slovenski biologi so odkrili novo vrsto metulja v Triglavskem narodnem parku. Vrsta je endemična za Slovenijo. Odkritje poudarja pomen ohranjanja biotske raznovrstnosti. Park bo okrepil zaščitne ukrepe.,Znanost,slovenski biologi so odkrili novo vrsto metulja v triglavskem narodnem parku. vrsta je endemična za slovenijo. odkritje poudarja pomen ohranjanja biotske raznovrstnosti. park bo okrepil zaščitne ukrepe.,3
Študija slovenskih psihologov kaže pozitivne učinke meditacije na duševno zdravje. Raziskava je trajala dve leti in vključila 500 udeležencev. Rezultati so bili objavljeni v mednarodni reviji. Metoda bo vključena v terapevtske programe.,Znanost,študija slovenskih psihologov kaže pozitivne učinke meditacije na duševno zdravje. raziskava je trajala dve leti in vključila 500 udeležencev. rezultati so bili objavljeni v mednarodni reviji. metoda bo vključena v terapevtske programe.,3
Fiziki so na Institut Jožef Stefan razvili novo metodo za merjenje gravitacijskih valov. Naprava je stokrat občutljivejša od obstoječih. Projekt sodeluje z mednarodnimi raziskovalnimi centri. Pričakujejo prve meritve v prihodnjem letu.,Znanost,fiziki so na institut jožef stefan razvili novo metodo za merjenje gravitacijskih valov. naprava je stokrat občutljivejša od obstoječih. projekt sodeluje z mednarodnimi raziskovalnimi centri. pričakujejo prve meritve v prihodnjem letu.,3
